timestamp,method_name,principal_email,resource_name,location,revision,authorization
2026-07-03T09:42:00Z,google.cloud.run.v2.Services.UpdateService,svc-deploy@asteria-prod.iam.gserviceaccount.invalid,projects/asteria-prod/services/payments-api,europe-west1,payments-api-293-c,ALLOW
2026-07-08T16:20:00Z,google.cloud.run.v2.Services.UpdateService,svc-deploy@asteria-prod.iam.gserviceaccount.invalid,projects/asteria-prod/services/identity-service,europe-west1,identity-service-900-d,ALLOW
2026-07-11T03:10:00Z,google.cloud.run.v2.Services.UpdateService,svc-deploy@asteria-prod.iam.gserviceaccount.invalid,projects/asteria-prod/services/ops-automation,europe-west1,ops-automation-831-j,ALLOW
2026-07-01T00:30:00+02:00,google.cloud.run.v2.Services.UpdateService,svc-deploy@asteria-prod.iam.gserviceaccount.invalid,projects/asteria-prod/services/reporting-ui,europe-west1,reporting-ui-152-m,ALLOW
2026-07-14T02:05:00Z,google.cloud.run.v2.Services.UpdateService,svc-deploy@asteria-prod.iam.gserviceaccount.invalid,projects/asteria-prod/services/ledger-core,europe-west1,ledger-core-365-m,ALLOW
2026-07-23T13:47:00Z,google.cloud.run.v2.Services.UpdateService,svc-deploy@asteria-prod.iam.gserviceaccount.invalid,projects/asteria-prod/services/invoice-ingest,europe-west1,invoice-ingest-575-d,ALLOW
2026-07-24T12:16:00Z,google.cloud.run.v2.Services.UpdateService,svc-deploy@asteria-prod.iam.gserviceaccount.invalid,projects/asteria-prod/services/payments-api,europe-west1,payments-api-939-d,ALLOW
2026-07-06T11:17:00Z,google.cloud.run.v2.Services.UpdateService,svc-deploy@asteria-prod.iam.gserviceaccount.invalid,projects/asteria-prod/services/payments-api,europe-west1,payments-api-791-e,ALLOW
2026-07-25T14:03:00Z,google.cloud.run.v2.Services.UpdateService,svc-deploy@asteria-prod.iam.gserviceaccount.invalid,projects/asteria-prod/services/invoice-ingest,europe-west1,invoice-ingest-184-e,ALLOW
2026-07-24T18:23:00Z,google.cloud.run.v2.Services.UpdateService,svc-deploy@asteria-prod.iam.gserviceaccount.invalid,projects/asteria-prod/services/invoice-ingest,europe-west1,invoice-ingest-691-h,ALLOW
2026-07-17T11:51:00Z,google.cloud.run.v2.Services.UpdateService,svc-deploy@asteria-prod.iam.gserviceaccount.invalid,projects/asteria-prod/services/identity-service,europe-west1,identity-service-928-j,ALLOW
2026-07-03T08:19:00Z,google.cloud.run.v2.Services.UpdateService,svc-deploy@asteria-prod.iam.gserviceaccount.invalid,projects/asteria-prod/services/reporting-ui,europe-west1,reporting-ui-478-k,ALLOW
2026-07-29T15:53:00Z,google.cloud.run.v2.Services.UpdateService,svc-deploy@asteria-prod.iam.gserviceaccount.invalid,projects/asteria-prod/services/ledger-core,europe-west1,ledger-core-888-a,ALLOW
2026-07-21T14:41:00Z,google.cloud.run.v2.Services.UpdateService,svc-deploy@asteria-prod.iam.gserviceaccount.invalid,projects/asteria-prod/services/identity-service,europe-west1,identity-service-613-m,ALLOW
2026-07-01T17:56:00Z,google.cloud.run.v2.Services.UpdateService,svc-deploy@asteria-prod.iam.gserviceaccount.invalid,projects/asteria-prod/services/identity-service,europe-west1,identity-service-137-d,ALLOW
