service,business_owner,technical_owner,criticality,rto_hours,rpo_minutes,in_scope_iso27001
payments-api,cfo@asteria.invalid,platform-team@asteria.invalid,critical,2,5,true
identity-service,cto@asteria.invalid,platform-team@asteria.invalid,critical,2,5,true
ledger-core,cfo@asteria.invalid,platform-team@asteria.invalid,critical,2,5,true
invoice-ingest,cto@asteria.invalid,platform-team@asteria.invalid,high,8,15,true
reporting-ui,cto@asteria.invalid,platform-team@asteria.invalid,high,8,15,true
ops-automation,cto@asteria.invalid,platform-team@asteria.invalid,high,8,15,true
notification-relay,cto@asteria.invalid,platform-team@asteria.invalid,medium,24,60,false
document-render,cto@asteria.invalid,platform-team@asteria.invalid,medium,24,60,false
webhook-gateway,cto@asteria.invalid,platform-team@asteria.invalid,high,8,15,true
search-index,cto@asteria.invalid,platform-team@asteria.invalid,medium,24,60,false
tax-rules,cto@asteria.invalid,platform-team@asteria.invalid,high,8,15,true
fx-rates,cto@asteria.invalid,platform-team@asteria.invalid,medium,24,60,false
customer-portal,cto@asteria.invalid,platform-team@asteria.invalid,high,8,15,true
admin-console,cto@asteria.invalid,platform-team@asteria.invalid,critical,2,5,true
export-service,cto@asteria.invalid,platform-team@asteria.invalid,medium,24,60,false
audit-log-shipper,cto@asteria.invalid,platform-team@asteria.invalid,high,8,15,true
scheduler,cto@asteria.invalid,platform-team@asteria.invalid,medium,24,60,false
sandbox-runner,cto@asteria.invalid,platform-team@asteria.invalid,low,72,1440,false
