invoice_id,po_id,vendor_id,amount,currency,invoice_date,payment_status,payment_run
INV-9160,PO-7149,V-1002,17695.54,EUR,2026-03-02,paid,PR-RUN-202603
INV-9102,PO-7102,V-1007,2586.78,CHF,2026-03-04,paid,PR-RUN-202603
INV-9381,PO-6841,V-1003,1840.00,EUR,2026-03-04,paid,PR-RUN-202603
INV-9175,PO-7162,V-1016,58151.92,GBP,2026-03-09,paid,PR-RUN-202603
INV-9249,PO-7221,V-1002,22541.93,GBP,2026-03-10,paid,PR-RUN-202603
INV-9251,PO-7223,V-1016,4726.05,EUR,2026-03-10,paid,PR-RUN-202603
INV-9354,PO-7311,V-1035,5136.25,EUR,2026-03-12,paid,PR-RUN-202603
INV-9331,PO-7290,V-1005,13139.93,EUR,2026-03-14,paid,PR-RUN-202603
INV-9282,PO-7249,V-1008,8055.49,EUR,2026-03-15,paid,PR-RUN-202603
INV-9114,PO-7113,V-1018,8049.52,EUR,2026-03-16,paid,PR-RUN-202603
INV-9194,PO-7178,V-1033,26677.45,EUR,2026-03-17,paid,PR-RUN-202603
INV-9348,PO-7305,V-1006,31334.19,EUR,2026-03-17,paid,PR-RUN-202603
INV-9180,PO-7165,V-1032,29562.89,EUR,2026-03-19,paid,PR-RUN-202603
INV-9262,PO-7233,V-1016,57341.16,EUR,2026-03-19,paid,PR-RUN-202603
INV-9255,PO-7227,V-1004,8882.10,EUR,2026-03-20,paid,PR-RUN-202603
INV-9276,PO-7245,V-1029,28239.73,GBP,2026-03-23,paid,PR-RUN-202603
INV-9199,PO-7181,V-1027,47992.84,EUR,2026-03-24,paid,PR-RUN-202603
INV-9213,PO-7193,V-1005,45368.63,EUR,2026-03-25,paid,PR-RUN-202603
INV-9358,PO-7313,V-1019,31016.81,EUR,2026-03-25,paid,PR-RUN-202603
INV-9227,PO-7205,V-1036,15123.76,EUR,2026-03-29,paid,PR-RUN-202603
INV-9277,PO-7246,V-1014,47210.59,EUR,2026-03-29,paid,PR-RUN-202603
INV-9298,PO-7263,V-1002,35200.91,EUR,2026-03-29,paid,PR-RUN-202603
INV-9224,PO-7202,V-1029,2530.28,EUR,2026-03-30,paid,PR-RUN-202603
INV-9260,PO-7232,V-1033,28238.16,EUR,2026-03-30,paid,PR-RUN-202603
INV-9254,PO-7227,V-1004,4787.97,EUR,2026-04-01,paid,PR-RUN-202604
INV-9297,PO-7262,V-1026,28982.56,EUR,2026-04-02,paid,PR-RUN-202604
INV-9283,PO-7250,V-1002,30960.44,EUR,2026-04-05,paid,PR-RUN-202604
INV-9162,PO-7151,V-1034,34098.02,EUR,2026-04-06,paid,PR-RUN-202604
INV-9207,PO-7187,V-1016,39215.75,GBP,2026-04-07,paid,PR-RUN-202604
INV-9330,PO-7290,V-1005,10022.05,EUR,2026-04-07,paid,PR-RUN-202604
INV-9256,PO-7228,V-1004,2240.88,EUR,2026-04-08,paid,PR-RUN-202604
INV-9248,PO-7221,V-1002,25794.14,GBP,2026-04-09,paid,PR-RUN-202604
INV-9300,PO-7264,V-1001,8999.57,EUR,2026-04-09,paid,PR-RUN-202604
INV-9301,PO-7264,V-1001,3468.69,EUR,2026-04-09,paid,PR-RUN-202604
INV-9128,PO-7125,V-1005,52979.14,EUR,2026-04-10,paid,PR-RUN-202604
INV-9184,PO-7168,V-1004,8966.37,EUR,2026-04-11,paid,PR-RUN-202604
INV-9153,PO-7143,V-1003,40453.43,EUR,2026-04-12,paid,PR-RUN-202604
INV-9228,PO-7205,V-1036,15114.06,EUR,2026-04-12,paid,PR-RUN-202604
INV-9365,PO-7318,V-1021,38807.26,EUR,2026-04-12,paid,PR-RUN-202604
INV-9157,PO-7147,V-1016,16666.92,EUR,2026-04-13,paid,PR-RUN-202604
INV-9218,PO-7197,V-1001,44005.49,EUR,2026-04-13,paid,PR-RUN-202604
INV-9218,PO-7197,V-1001,44005.49,EUR,2026-04-13,paid,PR-RUN-202604
INV-9172,PO-7159,V-1016,51306.95,EUR,2026-04-14,paid,PR-RUN-202604
INV-9379,PO-7330,V-1007,54996.47,EUR,2026-04-14,paid,PR-RUN-202604
INV-9380,PO-7331,V-1008,22526.02,EUR,2026-04-14,paid,PR-RUN-202604
INV-9265,PO-7236,V-1023,19981.69,EUR,2026-04-15,paid,PR-RUN-202604
INV-9361,PO-7316,V-1014,41540.46,EUR,2026-04-15,paid,PR-RUN-202604
INV-9186,PO-7170,V-1020,35783.17,EUR,2026-04-16,paid,PR-RUN-202604
INV-9294,PO-7259,V-1033,7227.35,EUR,2026-04-17,paid,PR-RUN-202604
INV-9326,PO-7286,V-1016,37033.26,GBP,2026-04-17,paid,PR-RUN-202604
INV-9382,PO-6902,V-1019,12750.50,EUR,2026-04-17,paid,PR-RUN-202604
INV-9292,PO-7259,V-1033,10585.53,EUR,2026-04-18,paid,PR-RUN-202604
INV-9378,PO-7329,V-1029,32092.74,EUR,2026-04-18,paid,PR-RUN-202604
INV-9158,PO-7147,V-1016,30810.68,EUR,2026-04-19,paid,PR-RUN-202604
INV-9263,PO-7234,V-1007,49248.20,EUR,2026-04-19,paid,PR-RUN-202604
INV-9341,PO-7300,V-1027,32156.58,EUR,2026-04-19,paid,PR-RUN-202604
