deployment_id,service,revision,deployed_at,deployed_by,pull_request_id,environment
dep-pr-1001,payments-api,payments-api-293-c,2026-07-03T09:42:00Z,svc-deploy@asteria-prod.iam.gserviceaccount.invalid,PR-1001,production
dep-pr-1002,identity-service,identity-service-900-d,2026-07-08T16:20:00Z,svc-deploy@asteria-prod.iam.gserviceaccount.invalid,PR-1002,production
dep-pr-1003,ops-automation,ops-automation-831-j,2026-07-11T03:10:00Z,svc-deploy@asteria-prod.iam.gserviceaccount.invalid,PR-1003,production
dep-pr-1004,reporting-ui,reporting-ui-152-m,2026-07-01T00:30:00+02:00,svc-deploy@asteria-prod.iam.gserviceaccount.invalid,PR-1004,production
dep-pr-1021,ledger-core,ledger-core-365-m,2026-07-14T02:05:00Z,svc-deploy@asteria-prod.iam.gserviceaccount.invalid,PR-1021,production
dep-pr-1033,invoice-ingest,invoice-ingest-575-d,2026-07-23T13:47:00Z,svc-deploy@asteria-prod.iam.gserviceaccount.invalid,PR-1033,production
dep-pr-1100,payments-api,payments-api-939-d,2026-07-24T12:16:00Z,svc-deploy@asteria-prod.iam.gserviceaccount.invalid,PR-1100,production
dep-pr-1101,payments-api,payments-api-791-e,2026-07-06T11:17:00Z,svc-deploy@asteria-prod.iam.gserviceaccount.invalid,PR-1101,production
dep-pr-1102,invoice-ingest,invoice-ingest-184-e,2026-07-25T14:03:00Z,svc-deploy@asteria-prod.iam.gserviceaccount.invalid,PR-1102,production
dep-pr-1103,invoice-ingest,invoice-ingest-691-h,2026-07-24T18:23:00Z,svc-deploy@asteria-prod.iam.gserviceaccount.invalid,PR-1103,production
dep-pr-1104,identity-service,identity-service-928-j,2026-07-17T11:51:00Z,svc-deploy@asteria-prod.iam.gserviceaccount.invalid,PR-1104,production
dep-pr-1105,reporting-ui,reporting-ui-478-k,2026-07-03T08:19:00Z,svc-deploy@asteria-prod.iam.gserviceaccount.invalid,PR-1105,production
dep-pr-1106,ledger-core,ledger-core-888-a,2026-07-29T15:53:00Z,svc-deploy@asteria-prod.iam.gserviceaccount.invalid,PR-1106,production
dep-pr-1107,identity-service,identity-service-613-m,2026-07-21T14:41:00Z,svc-deploy@asteria-prod.iam.gserviceaccount.invalid,PR-1107,production
dep-pr-1108,identity-service,identity-service-137-d,2026-07-01T17:56:00Z,svc-deploy@asteria-prod.iam.gserviceaccount.invalid,PR-1108,production
dep-pr-1109,reporting-ui,reporting-ui-284-g,2026-07-07T14:15:00Z,svc-deploy@asteria-prod.iam.gserviceaccount.invalid,PR-1109,production
dep-pr-1110,invoice-ingest,invoice-ingest-293-e,2026-07-01T12:29:00Z,svc-deploy@asteria-prod.iam.gserviceaccount.invalid,PR-1110,production
dep-pr-1111,identity-service,identity-service-181-b,2026-07-08T15:20:00Z,svc-deploy@asteria-prod.iam.gserviceaccount.invalid,PR-1111,production
dep-pr-1112,identity-service,identity-service-692-c,2026-07-01T19:13:00Z,svc-deploy@asteria-prod.iam.gserviceaccount.invalid,PR-1112,production
dep-pr-1113,ops-automation,ops-automation-772-f,2026-07-03T12:25:00Z,svc-deploy@asteria-prod.iam.gserviceaccount.invalid,PR-1113,production
dep-pr-1114,ops-automation,ops-automation-763-d,2026-07-04T11:44:00Z,svc-deploy@asteria-prod.iam.gserviceaccount.invalid,PR-1114,production
dep-pr-1115,payments-api,payments-api-679-a,2026-07-05T10:12:00Z,svc-deploy@asteria-prod.iam.gserviceaccount.invalid,PR-1115,production
dep-pr-1116,invoice-ingest,invoice-ingest-967-m,2026-07-06T10:57:00Z,svc-deploy@asteria-prod.iam.gserviceaccount.invalid,PR-1116,production
dep-pr-1117,reporting-ui,reporting-ui-200-a,2026-07-13T17:29:00Z,svc-deploy@asteria-prod.iam.gserviceaccount.invalid,PR-1117,production
dep-pr-1118,payments-api,payments-api-582-p,2026-07-15T16:41:00Z,svc-deploy@asteria-prod.iam.gserviceaccount.invalid,PR-1118,production
dep-pr-1119,ops-automation,ops-automation-205-h,2026-07-08T06:39:00Z,svc-deploy@asteria-prod.iam.gserviceaccount.invalid,PR-1119,production
dep-pr-1120,identity-service,identity-service-931-c,2026-07-28T08:19:00Z,svc-deploy@asteria-prod.iam.gserviceaccount.invalid,PR-1120,production
dep-pr-1121,reporting-ui,reporting-ui-422-e,2026-07-21T19:34:00Z,svc-deploy@asteria-prod.iam.gserviceaccount.invalid,PR-1121,production
dep-pr-1122,invoice-ingest,invoice-ingest-435-n,2026-07-09T17:41:00Z,svc-deploy@asteria-prod.iam.gserviceaccount.invalid,PR-1122,production
dep-pr-1123,invoice-ingest,invoice-ingest-672-p,2026-07-08T12:45:00Z,svc-deploy@asteria-prod.iam.gserviceaccount.invalid,PR-1123,production
dep-pr-1124,ledger-core,ledger-core-286-a,2026-07-14T15:46:00Z,svc-deploy@asteria-prod.iam.gserviceaccount.invalid,PR-1124,production
dep-pr-1125,ops-automation,ops-automation-692-c,2026-07-13T09:52:00Z,svc-deploy@asteria-prod.iam.gserviceaccount.invalid,PR-1125,production
dep-pr-1126,invoice-ingest,invoice-ingest-867-g,2026-07-14T08:41:00Z,svc-deploy@asteria-prod.iam.gserviceaccount.invalid,PR-1126,production
dep-pr-1127,identity-service,identity-service-824-j,2026-07-14T14:48:00Z,svc-deploy@asteria-prod.iam.gserviceaccount.invalid,PR-1127,production
dep-pr-1128,identity-service,identity-service-631-m,2026-07-07T15:51:00Z,svc-deploy@asteria-prod.iam.gserviceaccount.invalid,PR-1128,production
dep-pr-1129,invoice-ingest,invoice-ingest-185-f,2026-07-26T12:41:00Z,svc-deploy@asteria-prod.iam.gserviceaccount.invalid,PR-1129,production
dep-pr-1130,ops-automation,ops-automation-473-e,2026-07-30T18:44:00Z,svc-deploy@asteria-prod.iam.gserviceaccount.invalid,PR-1130,production
dep-pr-1131,reporting-ui,reporting-ui-843-m,2026-07-20T09:27:00Z,svc-deploy@asteria-prod.iam.gserviceaccount.invalid,PR-1131,production
dep-pr-1132,ledger-core,ledger-core-772-n,2026-07-04T19:18:00Z,svc-deploy@asteria-prod.iam.gserviceaccount.invalid,PR-1132,production
dep-pr-1133,identity-service,identity-service-896-b,2026-07-04T09:35:00Z,svc-deploy@asteria-prod.iam.gserviceaccount.invalid,PR-1133,production
dep-pr-1134,invoice-ingest,invoice-ingest-889-b,2026-07-30T06:16:00Z,svc-deploy@asteria-prod.iam.gserviceaccount.invalid,PR-1134,production
dep-pr-1135,ledger-core,ledger-core-850-c,2026-07-28T19:11:00Z,svc-deploy@asteria-prod.iam.gserviceaccount.invalid,PR-1135,production
dep-pr-1136,identity-service,identity-service-937-j,2026-07-17T12:29:00Z,svc-deploy@asteria-prod.iam.gserviceaccount.invalid,PR-1136,production
dep-pr-1137,invoice-ingest,invoice-ingest-226-b,2026-07-26T06:44:00Z,svc-deploy@asteria-prod.iam.gserviceaccount.invalid,PR-1137,production
