ticket_id,from_status,to_status,transitioned_at,actor
CHG-2001,Draft,In review,2026-07-03T08:00:00Z,marc.bernard
CHG-2001,In review,Approved,2026-07-03T08:00:00Z,change.manager
CHG-2002,Draft,In review,2026-07-01T09:00:00Z,sofia.weber
CHG-2003,Draft,In review,2026-07-10T18:00:00Z,svc-release-bot
CHG-2003,In review,Approved,2026-07-10T18:00:00Z,change.manager
CHG-2004,Draft,In review,2026-07-01T09:00:00Z,grace.hartley
CHG-2021,Draft,In review,2026-07-01T09:00:00Z,omar.haddad
CHG-2021,In review,Emergency-Pending-Retrospective,2026-07-14T02:00:00Z,omar.haddad
CHG-2101,Draft,In review,2026-07-22T07:16:00Z,lena.schulz
CHG-2101,In review,Approved,2026-07-22T07:16:00Z,change.manager
CHG-2102,Draft,In review,2026-07-05T04:17:00Z,sofia.weber
CHG-2102,In review,Approved,2026-07-05T04:17:00Z,change.manager
CHG-2103,Draft,In review,2026-07-23T08:03:00Z,grace.hartley
CHG-2103,In review,Approved,2026-07-23T08:03:00Z,change.manager
CHG-2104,Draft,In review,2026-07-24T00:23:00Z,sofia.weber
CHG-2104,In review,Approved,2026-07-24T00:23:00Z,change.manager
CHG-2105,Draft,In review,2026-07-16T10:51:00Z,lena.schulz
CHG-2105,In review,Approved,2026-07-16T10:51:00Z,change.manager
CHG-2106,Draft,In review,2026-07-02T01:19:00Z,lena.schulz
CHG-2106,In review,Approved,2026-07-02T01:19:00Z,change.manager
CHG-2107,Draft,In review,2026-07-29T05:53:00Z,alice.reviewer
CHG-2107,In review,Approved,2026-07-29T05:53:00Z,change.manager
CHG-2108,Draft,In review,2026-07-19T18:41:00Z,sofia.weber
CHG-2108,In review,Approved,2026-07-19T18:41:00Z,change.manager
CHG-2109,Draft,In review,2026-06-30T00:56:00Z,sofia.weber
CHG-2109,In review,Approved,2026-06-30T00:56:00Z,change.manager
CHG-2110,Draft,In review,2026-07-06T02:15:00Z,sofia.weber
CHG-2110,In review,Approved,2026-07-06T02:15:00Z,change.manager
CHG-2111,Draft,In review,2026-06-30T13:29:00Z,omar.haddad
CHG-2111,In review,Approved,2026-06-30T13:29:00Z,change.manager
CHG-2112,Draft,In review,2026-07-06T14:20:00Z,omar.haddad
CHG-2112,In review,Approved,2026-07-06T14:20:00Z,change.manager
CHG-2113,Draft,In review,2026-07-01T12:13:00Z,alice.reviewer
CHG-2113,In review,Approved,2026-07-01T12:13:00Z,change.manager
CHG-2114,Draft,In review,2026-07-01T04:25:00Z,noah.larsen
CHG-2114,In review,Approved,2026-07-01T04:25:00Z,change.manager
CHG-2115,Draft,In review,2026-07-02T17:44:00Z,grace.hartley
CHG-2115,In review,Approved,2026-07-02T17:44:00Z,change.manager
CHG-2116,Draft,In review,2026-07-04T16:12:00Z,grace.hartley
CHG-2116,In review,Approved,2026-07-04T16:12:00Z,change.manager
CHG-2117,Draft,In review,2026-07-05T02:57:00Z,alice.reviewer
CHG-2117,In review,Approved,2026-07-05T02:57:00Z,change.manager
CHG-2118,Draft,In review,2026-07-12T09:29:00Z,omar.haddad
CHG-2118,In review,Approved,2026-07-12T09:29:00Z,change.manager
CHG-2119,Draft,In review,2026-07-15T09:41:00Z,grace.hartley
CHG-2119,In review,Approved,2026-07-15T09:41:00Z,change.manager
CHG-2120,Draft,In review,2026-07-05T20:39:00Z,kenji.nakamura
CHG-2120,In review,Approved,2026-07-05T20:39:00Z,change.manager
CHG-2121,Draft,In review,2026-07-28T03:19:00Z,marc.bernard
CHG-2121,In review,Approved,2026-07-28T03:19:00Z,change.manager
CHG-2122,Draft,In review,2026-07-21T05:34:00Z,omar.haddad
CHG-2122,In review,Approved,2026-07-21T05:34:00Z,change.manager
CHG-2123,Draft,In review,2026-07-09T00:41:00Z,alice.reviewer
CHG-2123,In review,Approved,2026-07-09T00:41:00Z,change.manager
CHG-2124,Draft,In review,2026-07-06T19:45:00Z,marc.bernard
CHG-2124,In review,Approved,2026-07-06T19:45:00Z,change.manager
CHG-2125,Draft,In review,2026-07-13T16:46:00Z,noah.larsen
CHG-2125,In review,Approved,2026-07-13T16:46:00Z,change.manager
